station_name,Lon,Lat,station_id,base_attractiveness_score_VERY_EARLY_MORNING,base_attractiveness_score_EARLY_AM,base_attractiveness_score_AM_PEAK,base_attractiveness_score_MIDDAY_BASE,base_attractiveness_score_MIDDAY_SCHOOL,base_attractiveness_score_PM_PEAK,base_attractiveness_score_EVENING,base_attractiveness_score_LATE_EVENING,base_attractiveness_score_NIGHT
Malden Center,-71.07429,42.426844,64,0.878065122,0.913318397,0.918993062,0.872283362,0.789138399,0.776542629,0.770158058,0.763901542,0.768201507
Oak Grove,-71.071099,42.43668,74,0.83018331,0.870830561,0.850904414,0.805293587,0.768137598,0.776151572,0.773784132,0.774378207,0.779040257
Roxbury Crossing,-71.095475,42.331335,87,0.337375157,0.332930392,0.304565917,0.378276875,0.495066794,0.502682152,0.518204873,0.453427035,0.476585928
Ruggles,-71.089407,42.336646,88,0.417368657,0.427876893,0.383289856,0.461793963,0.566033406,0.583450882,0.602918908,0.541042857,0.568483109
Stony Brook,-71.104196,42.317229,98,0.298897527,0.295285022,0.267255713,0.316014161,0.407123447,0.411433722,0.403588737,0.338870187,0.332761552
Sullivan Square,-71.076999,42.384263,100,0.734853626,0.799065545,0.847137911,0.754184033,0.585480802,0.537835776,0.528982409,0.52360696,0.531876659
Tufts Medical Center,-71.063917,42.349661,105,0.597178104,0.670058346,0.676607983,0.709778388,0.729238338,0.707691521,0.698179644,0.66491969,0.683592436
Wellington,-71.077145,42.401668,110,0.827810521,0.885032893,0.904810422,0.834969306,0.70260975,0.678714393,0.671331608,0.668256618,0.675326602
Alewife,-71.142478,42.395426,2,0.734142503,0.787886588,0.817231662,0.760222638,0.705529884,0.728582235,0.71921533,0.709554147,0.705729251
Andrew,-71.057656,42.330153,4,0.478112706,0.494925146,0.504333843,0.598694603,0.730805033,0.775779338,0.789889278,0.799364985,0.810202759
Ashmont,-71.063744,42.284454,7,0.22590109,0.210969549,0.199642428,0.216550591,0.243746053,0.251556498,0.243597053,0.2354946,0.236299139
Broadway,-71.056946,42.342573,24,0.493908492,0.505569982,0.505490495,0.60671175,0.744934948,0.789189822,0.809620789,0.813649757,0.822827853
Braintree,-71.001234,42.207267,21,0.975881218,0.971536903,0.963935145,0.968104079,0.969075158,0.971780032,0.971904545,0.973914895,0.974886224
Charles/MGH,-71.070525,42.361137,28,0.384485138,0.454131093,0.728075225,0.656625174,0.633210894,0.621572612,0.591406281,0.584675537,0.534383369
Central,-71.103591,42.365325,27,0.520157903,0.650555031,0.880859527,0.79182861,0.588829974,0.564543287,0.588204578,0.596485336,0.569061849
Davis,-71.121816,42.396748,37,0.677717138,0.773258005,0.875884239,0.778454494,0.641751969,0.654091271,0.657407957,0.645799694,0.635532003
Fields Corner,-71.061852,42.299941,45,0.484199965,0.459232921,0.429096619,0.472273486,0.560215006,0.559184471,0.556639954,0.552297041,0.574668196
Harvard,-71.11896,42.37337,50,0.612997358,0.73823592,0.904331452,0.821184805,0.647809108,0.630856109,0.655332262,0.649552186,0.623601482
JFK/Umass,-71.052364,42.320605,57,0.404542061,0.395428763,0.379657375,0.429152184,0.533559907,0.568094035,0.567415322,0.573242539,0.575157062
Kendall/MIT,-71.086225,42.36224,58,0.40680266,0.521789313,0.772735708,0.671668333,0.580568605,0.584240101,0.56118515,0.550607857,0.527536002
North Quincy,-71.030152,42.275791,71,0.497671187,0.492060774,0.46166086,0.513655335,0.599557334,0.648170691,0.622446886,0.607534719,0.568583467
Porter,-71.119147,42.388388,79,0.646274395,0.766751208,0.908744925,0.804864804,0.623733024,0.628142197,0.643579335,0.632081743,0.611644866
Quincy Adams,-71.007153,42.233391,81,0.870686591,0.857252379,0.831778026,0.850031454,0.871372646,0.880466596,0.872152428,0.876811241,0.868027654
Quincy Center,-71.005502,42.251991,82,0.787667168,0.776230606,0.743932277,0.765006658,0.799709326,0.82055528,0.804756655,0.806146612,0.786107181
Savin Hill,-71.053332,42.311253,92,0.306236545,0.295218716,0.28593157,0.328652563,0.420804931,0.421065797,0.432789377,0.457585352,0.515829466
Shawmut,-71.065803,42.293129,94,0.34526682,0.326910002,0.305207924,0.337179651,0.407641008,0.409159506,0.400246043,0.39372702,0.343263117
South Station,-71.055105,42.351877,95,0.667458994,0.676213111,0.669927722,0.758804011,0.857803865,0.886427995,0.900128305,0.898184873,0.904438227
Wollaston,-71.020514,42.266769,111,0.615058538,0.607963276,0.573346619,0.618651338,0.682729638,0.717695057,0.692215673,0.680586456,0.649234068
