Building,Time,Weekday,Student_Count_Building
Ubcmns,10:30,Thursday,23
Wilkeson,10:30,Thursday,28
Academ,10:30,Tuesday,408
Alfier,10:30,Tuesday,139
Alumni,10:30,Tuesday,122
Arr,10:30,Tuesday,2
Baird,10:30,Tuesday,63
Baldy,10:30,Tuesday,320
Bell,10:30,Tuesday,79
Bonner,10:30,Tuesday,8
CFA,10:30,Tuesday,117
Capen,10:30,Tuesday,241
Cfa,10:30,Tuesday,98
Clemen,10:30,Tuesday,427
Cooke,10:30,Tuesday,326
Davis,10:30,Tuesday,97
Frnczk,10:30,Tuesday,182
Furnas,10:30,Tuesday,66
Grein,10:30,Tuesday,1
Hoch,10:30,Tuesday,175
Jacobs,10:30,Tuesday,161
Knox,10:30,Tuesday,685
Math,10:30,Tuesday,97
Norton,10:30,Tuesday,299
Nsc,10:30,Tuesday,1134
Obrian,10:30,Tuesday,263
Park,10:30,Tuesday,155
Slee,10:30,Tuesday,80
Talbrt,10:30,Tuesday,197
Ubcmns,10:30,Tuesday,23
Wilkeson,10:30,Tuesday,28
Academ,10:30,Wednesday,138
Alfier,10:30,Wednesday,123
Alumni,10:30,Wednesday,183
Baird,10:30,Wednesday,162
Baldy,10:30,Wednesday,384
Bell,10:30,Wednesday,98
Bonner,10:30,Wednesday,8
CFA,10:30,Wednesday,90
Capen,10:30,Wednesday,134
Cfa,10:30,Wednesday,200
Clemen,10:30,Wednesday,442
Cooke,10:30,Wednesday,167
Davis,10:30,Wednesday,120
Frnczk,10:30,Wednesday,117
Furnas,10:30,Wednesday,28
Hoch,10:30,Wednesday,149
Jacobs,10:30,Wednesday,235
Jarvis,10:30,Wednesday,5
Ketter,10:30,Wednesday,13
Knox,10:30,Wednesday,750
Math,10:30,Wednesday,39
Norton,10:30,Wednesday,230
Nsc,10:30,Wednesday,1239
Obrian,10:30,Wednesday,164
Park,10:30,Wednesday,195
Talbrt,10:30,Wednesday,245
Wilkeson,10:30,Wednesday,11
Academ,10:45,Monday,64
Alfier,10:45,Monday,50
Alumni,10:45,Monday,16
Baldy,10:45,Monday,87
Bell,10:45,Monday,26
CFA,10:45,Monday,90
Capen,10:45,Monday,3
Cfa,10:45,Monday,311
Clemen,10:45,Monday,21
Furnas,10:45,Monday,19
Grein,10:45,Monday,32
Math,10:45,Monday,21
Norton,10:45,Monday,23
Obrian,10:45,Monday,79
Park,10:45,Monday,36
Talbrt,10:45,Monday,79
Academ,10:45,Thursday,46
Alfier,10:45,Thursday,102
Alumni,10:45,Thursday,50
Baird,10:45,Thursday,28
Baldy,10:45,Thursday,36
Bonner,10:45,Thursday,8
CFA,10:45,Thursday,118
Capen,10:45,Thursday,9
Cfa,10:45,Thursday,167
Clemen,10:45,Thursday,45
Cooke,10:45,Thursday,42
Frnczk,10:45,Thursday,43
Furnas,10:45,Thursday,52
Hoch,10:45,Thursday,66
Nsc,10:45,Thursday,71
Obrian,10:45,Thursday,81
Park,10:45,Thursday,64
Slee,10:45,Thursday,80
Talbrt,10:45,Thursday,36
Wilkeson,10:45,Thursday,28
Academ,10:45,Tuesday,70
Alfier,10:45,Tuesday,102
Alumni,10:45,Tuesday,50
Baird,10:45,Tuesday,28
Baldy,10:45,Tuesday,29
Bonner,10:45,Tuesday,8
CFA,10:45,Tuesday,117
Capen,10:45,Tuesday,17
Cfa,10:45,Tuesday,98
Clemen,10:45,Tuesday,5
Cooke,10:45,Tuesday,42
Frnczk,10:45,Tuesday,44
Furnas,10:45,Tuesday,49
Hoch,10:45,Tuesday,69
Nsc,10:45,Tuesday,121
Obrian,10:45,Tuesday,135
Park,10:45,Tuesday,55
Slee,10:45,Tuesday,80
Talbrt,10:45,Tuesday,36
Wilkeson,10:45,Tuesday,28
Academ,10:45,Wednesday,18
Alfier,10:45,Wednesday,50
Alumni,10:45,Wednesday,18
Baldy,10:45,Wednesday,80
Bell,10:45,Wednesday,26
CFA,10:45,Wednesday,90
Cfa,10:45,Wednesday,200
Clemen,10:45,Wednesday,16
Cooke,10:45,Wednesday,20
Frnczk,10:45,Wednesday,10
Jarvis,10:45,Wednesday,5
Math,10:45,Wednesday,21
Norton,10:45,Wednesday,23
Nsc,10:45,Wednesday,90
Obrian,10:45,Wednesday,112
Park,10:45,Wednesday,48
Talbrt,10:45,Wednesday,61
Wilkeson,10:45,Wednesday,11
Academ,11:00,Friday,228
Alumni,11:00,Friday,75
Arr,11:00,Friday,5
Baird,11:00,Friday,2
Baldy,11:00,Friday,378
Bell,11:00,Friday,69
Bonner,11:00,Friday,11
Capen,11:00,Friday,123
Cfa,11:00,Friday,9
Clemen,11:00,Friday,499
Cooke,11:00,Friday,214
Davis,11:00,Friday,121
Frnczk,11:00,Friday,126
Furnas,11:00,Friday,41
Grein,11:00,Friday,20
Hoch,11:00,Friday,81
Jacobs,11:00,Friday,242
Jarvis,11:00,Friday,12
Knox,11:00,Friday,1013
Math,11:00,Friday,62
Norton,11:00,Friday,397
Nsc,11:00,Friday,1075
Obrian,11:00,Friday,277
Park,11:00,Friday,114
Talbrt,11:00,Friday,222
Wilkeson,11:00,Friday,21
Academ,11:00,Monday,292
Alfier,11:00,Monday,140
Alumni,11:00,Monday,111
Baird,11:00,Monday,12
Baldy,11:00,Monday,464
Bell,11:00,Monday,67
CFA,11:00,Monday,90
Capen,11:00,Monday,149
Cfa,11:00,Monday,311
Clemen,11:00,Monday,467
Cooke,11:00,Monday,244
Davis,11:00,Monday,121
Frnczk,11:00,Monday,126
Furnas,11:00,Monday,80
Grein,11:00,Monday,52
Hoch,11:00,Monday,81
Jacobs,11:00,Monday,238
Jarvis,11:00,Monday,20
Knox,11:00,Monday,1013
Math,11:00,Monday,60
Norton,11:00,Monday,421
Nsc,11:00,Monday,1132
Obrian,11:00,Monday,387
Park,11:00,Monday,194
Talbrt,11:00,Monday,198
Wilkeson,11:00,Monday,24
Academ,11:00,Thursday,339
Alfier,11:00,Thursday,137
Alumni,11:00,Thursday,166
Baird,11:00,Thursday,53
Baldy,11:00,Thursday,385
Bell,11:00,Thursday,49
Bonner,11:00,Thursday,8
CFA,11:00,Thursday,118
Capen,11:00,Thursday,194
Cfa,11:00,Thursday,182
Clemen,11:00,Thursday,578
Cooke,11:00,Thursday,203
Davis,11:00,Thursday,193
Frnczk,11:00,Thursday,210
Furnas,11:00,Thursday,81
Grein,11:00,Thursday,57
Hoch,11:00,Thursday,210
Jacobs,11:00,Thursday,319
Jarvis,11:00,Thursday,5
Ketter,11:00,Thursday,19
Knox,11:00,Thursday,997
Math,11:00,Thursday,76
Norton,11:00,Thursday,422
Nsc,11:00,Thursday,1004
Obrian,11:00,Thursday,499
Park,11:00,Thursday,217
Slee,11:00,Thursday,80
Talbrt,11:00,Thursday,237
Ubcmns,11:00,Thursday,23
Wilkeson,11:00,Thursday,54
Academ,11:00,Tuesday,334
Alfier,11:00,Tuesday,137
Alumni,11:00,Tuesday,166
Baird,11:00,Tuesday,53
Baldy,11:00,Tuesday,397
Bell,11:00,Tuesday,74
Bonner,11:00,Tuesday,8
CFA,11:00,Tuesday,117
Capen,11:00,Tuesday,201
Cfa,11:00,Tuesday,113
Clemen,11:00,Tuesday,533
Cooke,11:00,Tuesday,203
Davis,11:00,Tuesday,193
Frnczk,11:00,Tuesday,196
Furnas,11:00,Tuesday,117
Hoch,11:00,Tuesday,169
Jacobs,11:00,Tuesday,297
Jarvis,11:00,Tuesday,5
Ketter,11:00,Tuesday,19
Knox,11:00,Tuesday,997
Math,11:00,Tuesday,76
Norton,11:00,Tuesday,428
Nsc,11:00,Tuesday,1054
Obrian,11:00,Tuesday,514
Park,11:00,Tuesday,233
Slee,11:00,Tuesday,80
Talbrt,11:00,Tuesday,223
Ubcmns,11:00,Tuesday,23
Wilkeson,11:00,Tuesday,54
Academ,11:00,Wednesday,246
Alfier,11:00,Wednesday,140
Alumni,11:00,Wednesday,120
Baird,11:00,Wednesday,12
Baldy,11:00,Wednesday,410
Bell,11:00,Wednesday,57
Bonner,11:00,Wednesday,13
CFA,11:00,Wednesday,90
Capen,11:00,Wednesday,108
Cfa,11:00,Wednesday,200
Clemen,11:00,Wednesday,530
Cooke,11:00,Wednesday,214
Davis,11:00,Wednesday,121
Frnczk,11:00,Wednesday,197
Furnas,11:00,Wednesday,101
Grein,11:00,Wednesday,20
Hoch,11:00,Wednesday,125
Jacobs,11:00,Wednesday,237
Jarvis,11:00,Wednesday,24
Knox,11:00,Wednesday,1013
Math,11:00,Wednesday,60
Norton,11:00,Wednesday,414
Nsc,11:00,Wednesday,1222
Obrian,11:00,Wednesday,428
Park,11:00,Wednesday,203
Talbrt,11:00,Wednesday,203
Wilkeson,11:00,Wednesday,35
Academ,11:15,Friday,228
Alumni,11:15,Friday,75
Arr,11:15,Friday,5
Baird,11:15,Friday,2
Baldy,11:15,Friday,378
Bell,11:15,Friday,69
Capen,11:15,Friday,123
Cfa,11:15,Friday,9
Clemen,11:15,Friday,499
Cooke,11:15,Friday,214
Davis,11:15,Friday,121
Frnczk,11:15,Friday,126
Furnas,11:15,Friday,41
Grein,11:15,Friday,20
Hoch,11:15,Friday,81
Jacobs,11:15,Friday,242
Jarvis,11:15,Friday,12
Knox,11:15,Friday,1013
Math,11:15,Friday,62
Norton,11:15,Friday,397
Nsc,11:15,Friday,1075
Obrian,11:15,Friday,277
Park,11:15,Friday,114
Talbrt,11:15,Friday,222
Wilkeson,11:15,Friday,21
Academ,11:15,Monday,289
Alfier,11:15,Monday,140
Alumni,11:15,Monday,111
Baird,11:15,Monday,12
Baldy,11:15,Monday,430
Bell,11:15,Monday,41
CFA,11:15,Monday,90
Capen,11:15,Monday,149
Cfa,11:15,Monday,311
Clemen,11:15,Monday,467
Cooke,11:15,Monday,244
Davis,11:15,Monday,121
Frnczk,11:15,Monday,126
Furnas,11:15,Monday,80
Grein,11:15,Monday,52
Hoch,11:15,Monday,81
Jacobs,11:15,Monday,238
Jarvis,11:15,Monday,20
Knox,11:15,Monday,1013
Math,11:15,Monday,60
Norton,11:15,Monday,398
Nsc,11:15,Monday,1132
Obrian,11:15,Monday,387
Park,11:15,Monday,194
Talbrt,11:15,Monday,198
Wilkeson,11:15,Monday,24
Academ,11:15,Thursday,312
Alfier,11:15,Thursday,137
Alumni,11:15,Thursday,157
Baird,11:15,Thursday,53
Baldy,11:15,Thursday,385
Bell,11:15,Thursday,49
Bonner,11:15,Thursday,8
CFA,11:15,Thursday,118
Capen,11:15,Thursday,194
Cfa,11:15,Thursday,177
Clemen,11:15,Thursday,573
Cooke,11:15,Thursday,227
Davis,11:15,Thursday,193
Frnczk,11:15,Thursday,210
Furnas,11:15,Thursday,81
Grein,11:15,Thursday,57
Hoch,11:15,Thursday,186
Jacobs,11:15,Thursday,319
Jarvis,11:15,Thursday,5
Ketter,11:15,Thursday,19
Knox,11:15,Thursday,997
Math,11:15,Thursday,76
Norton,11:15,Thursday,422
Nsc,11:15,Thursday,1004
Obrian,11:15,Thursday,499
Park,11:15,Thursday,217
Slee,11:15,Thursday,80
Talbrt,11:15,Thursday,237
Ubcmns,11:15,Thursday,23
Wilkeson,11:15,Thursday,26
Academ,11:15,Tuesday,307
Alfier,11:15,Tuesday,137
Alumni,11:15,Tuesday,157
Baird,11:15,Tuesday,53
Baldy,11:15,Tuesday,397
Bell,11:15,Tuesday,74
Bonner,11:15,Tuesday,8
CFA,11:15,Tuesday,117
Capen,11:15,Tuesday,201
Cfa,11:15,Tuesday,108
Clemen,11:15,Tuesday,533
Cooke,11:15,Tuesday,227
Davis,11:15,Tuesday,193
Frnczk,11:15,Tuesday,196
Furnas,11:15,Tuesday,117
Hoch,11:15,Tuesday,145
Jacobs,11:15,Tuesday,297
Jarvis,11:15,Tuesday,5
Ketter,11:15,Tuesday,19
Knox,11:15,Tuesday,997
Math,11:15,Tuesday,76
Norton,11:15,Tuesday,428
Nsc,11:15,Tuesday,1054
Obrian,11:15,Tuesday,514
Park,11:15,Tuesday,233
Slee,11:15,Tuesday,80
Talbrt,11:15,Tuesday,223
Ubcmns,11:15,Tuesday,23
Wilkeson,11:15,Tuesday,26
Academ,11:15,Wednesday,243
Alfier,11:15,Wednesday,140
Alumni,11:15,Wednesday,120
Baird,11:15,Wednesday,12
Baldy,11:15,Wednesday,371
Bell,11:15,Wednesday,31
Bonner,11:15,Wednesday,13
CFA,11:15,Wednesday,90
Capen,11:15,Wednesday,108
Cfa,11:15,Wednesday,200
Clemen,11:15,Wednesday,530
Cooke,11:15,Wednesday,214
Davis,11:15,Wednesday,121
Frnczk,11:15,Wednesday,197
Furnas,11:15,Wednesday,101
Grein,11:15,Wednesday,20
Hoch,11:15,Wednesday,125
Jacobs,11:15,Wednesday,237
Jarvis,11:15,Wednesday,24
Knox,11:15,Wednesday,1013
Math,11:15,Wednesday,60
Norton,11:15,Wednesday,391
Nsc,11:15,Wednesday,1222
Obrian,11:15,Wednesday,428
Park,11:15,Wednesday,203
Talbrt,11:15,Wednesday,203
Wilkeson,11:15,Wednesday,35
Academ,11:30,Friday,228
Alumni,11:30,Friday,97
Arr,11:30,Friday,5
Baird,11:30,Friday,2
Baldy,11:30,Friday,378
Bell,11:30,Friday,69
Capen,11:30,Friday,123
Cfa,11:30,Friday,9
Clemen,11:30,Friday,493
Cooke,11:30,Friday,214
Davis,11:30,Friday,121
Frnczk,11:30,Friday,126
Furnas,11:30,Friday,41
Grein,11:30,Friday,20
Hoch,11:30,Friday,81
Jacobs,11:30,Friday,242
Jarvis,11:30,Friday,12
Knox,11:30,Friday,1013
Math,11:30,Friday,62
Norton,11:30,Friday,397
Nsc,11:30,Friday,1075
Obrian,11:30,Friday,277
Park,11:30,Friday,114
Talbrt,11:30,Friday,222
Wilkeson,11:30,Friday,21
Academ,11:30,Monday,289
Alfier,11:30,Monday,115
Alumni,11:30,Monday,111
Baird,11:30,Monday,12
Baldy,11:30,Monday,430
Bell,11:30,Monday,51
Capen,11:30,Monday,149
Cfa,11:30,Monday,311
Clemen,11:30,Monday,461
Cooke,11:30,Monday,244
Davis,11:30,Monday,121
Frnczk,11:30,Monday,126
Furnas,11:30,Monday,80
Grein,11:30,Monday,52
Hoch,11:30,Monday,81
Jacobs,11:30,Monday,238
Jarvis,11:30,Monday,20
Knox,11:30,Monday,1013
Math,11:30,Monday,60
Norton,11:30,Monday,398
Nsc,11:30,Monday,1132
Obrian,11:30,Monday,381
Park,11:30,Monday,176
Talbrt,11:30,Monday,198
Wilkeson,11:30,Monday,24
Academ,11:30,Thursday,312
Alfier,11:30,Thursday,35
Alumni,11:30,Thursday,157
Baird,11:30,Thursday,53
Baldy,11:30,Thursday,413
Bell,11:30,Thursday,49
Bonner,11:30,Thursday,8
CFA,11:30,Thursday,8
Capen,11:30,Thursday,194
Cfa,11:30,Thursday,177
Clemen,11:30,Thursday,573
Cooke,11:30,Thursday,262
Davis,11:30,Thursday,193
Frnczk,11:30,Thursday,210
Furnas,11:30,Thursday,81
Grein,11:30,Thursday,57
Hoch,11:30,Thursday,186
Jacobs,11:30,Thursday,319
Jarvis,11:30,Thursday,5
Ketter,11:30,Thursday,19
Knox,11:30,Thursday,997
Math,11:30,Thursday,76
Norton,11:30,Thursday,422
Nsc,11:30,Thursday,1004
Obrian,11:30,Thursday,499
Park,11:30,Thursday,199
Slee,11:30,Thursday,80
Talbrt,11:30,Thursday,237
Ubcmns,11:30,Thursday,23
Wilkeson,11:30,Thursday,26
Academ,11:30,Tuesday,307
Alfier,11:30,Tuesday,35
Alumni,11:30,Tuesday,157
Baird,11:30,Tuesday,53
Baldy,11:30,Tuesday,413
Bell,11:30,Tuesday,74
Bonner,11:30,Tuesday,8
CFA,11:30,Tuesday,7
Capen,11:30,Tuesday,201
Cfa,11:30,Tuesday,108
Clemen,11:30,Tuesday,533
Cooke,11:30,Tuesday,262
Davis,11:30,Tuesday,193
Frnczk,11:30,Tuesday,196
Furnas,11:30,Tuesday,117
Hoch,11:30,Tuesday,145
Jacobs,11:30,Tuesday,297
Jarvis,11:30,Tuesday,5
Ketter,11:30,Tuesday,19
Knox,11:30,Tuesday,997
Math,11:30,Tuesday,76
Norton,11:30,Tuesday,428
Nsc,11:30,Tuesday,1054
Obrian,11:30,Tuesday,514
Park,11:30,Tuesday,215
Slee,11:30,Tuesday,80
Talbrt,11:30,Tuesday,223
Ubcmns,11:30,Tuesday,23
Wilkeson,11:30,Tuesday,26
Academ,11:30,Wednesday,243
Alfier,11:30,Wednesday,115
Alumni,11:30,Wednesday,120
Baird,11:30,Wednesday,12
Baldy,11:30,Wednesday,371
Bell,11:30,Wednesday,41
Bonner,11:30,Wednesday,13
Capen,11:30,Wednesday,108
Cfa,11:30,Wednesday,200
Clemen,11:30,Wednesday,524
Cooke,11:30,Wednesday,214
Davis,11:30,Wednesday,121
Frnczk,11:30,Wednesday,197
Furnas,11:30,Wednesday,101
Grein,11:30,Wednesday,20
Hoch,11:30,Wednesday,125
Jacobs,11:30,Wednesday,237
Jarvis,11:30,Wednesday,24
Knox,11:30,Wednesday,1013
Math,11:30,Wednesday,60
Norton,11:30,Wednesday,391
Nsc,11:30,Wednesday,1222
Obrian,11:30,Wednesday,422
Park,11:30,Wednesday,185
Talbrt,11:30,Wednesday,203
Wilkeson,11:30,Wednesday,35
Academ,11:45,Thursday,264
Alfier,11:45,Thursday,35
Alumni,11:45,Thursday,116
Baird,11:45,Thursday,25
Baldy,11:45,Thursday,341
Bell,11:45,Thursday,49
CFA,11:45,Thursday,8
Capen,11:45,Thursday,116
Cfa,11:45,Thursday,84
Clemen,11:45,Thursday,573
Cooke,11:45,Thursday,240
Davis,11:45,Thursday,193
Frnczk,11:45,Thursday,160
Furnas,11:45,Thursday,20
Grein,11:45,Thursday,34
Hoch,11:45,Thursday,161
Jacobs,11:45,Thursday,195
Jarvis,11:45,Thursday,5
Ketter,11:45,Thursday,19
Knox,11:45,Thursday,997
Math,11:45,Thursday,76
Norton,11:45,Thursday,402
Nsc,11:45,Thursday,933
Obrian,11:45,Thursday,487
Park,11:45,Thursday,178
Talbrt,11:45,Thursday,188
Ubcmns,11:45,Thursday,23
Wilkeson,11:45,Thursday,26
Academ,11:45,Tuesday,269
Alfier,11:45,Tuesday,35
Alumni,11:45,Tuesday,116
Baird,11:45,Tuesday,25
Baldy,11:45,Tuesday,333
Bell,11:45,Tuesday,49
CFA,11:45,Tuesday,7
Capen,11:45,Tuesday,124
Cfa,11:45,Tuesday,15
Clemen,11:45,Tuesday,533
Cooke,11:45,Tuesday,240
Davis,11:45,Tuesday,193
Frnczk,11:45,Tuesday,137
Furnas,11:45,Tuesday,38
Hoch,11:45,Tuesday,145
Jacobs,11:45,Tuesday,195
Jarvis,11:45,Tuesday,5
Ketter,11:45,Tuesday,19
Knox,11:45,Tuesday,997
Math,11:45,Tuesday,76
Norton,11:45,Tuesday,368
Nsc,11:45,Tuesday,933
Obrian,11:45,Tuesday,425
Park,11:45,Tuesday,182
Talbrt,11:45,Tuesday,169
Ubcmns,11:45,Tuesday,23
Wilkeson,11:45,Tuesday,26
Academ,12:00,Friday,120
Alumni,12:00,Friday,22
Arr,12:00,Friday,5
Baird,12:00,Friday,2
Baldy,12:00,Friday,338
Bell,12:00,Friday,25
Bonner,12:00,Friday,16
Capen,12:00,Friday,85
Cfa,12:00,Friday,23
Clemen,12:00,Friday,423
Cooke,12:00,Friday,252
Davis,12:00,Friday,123
Frnczk,12:00,Friday,155
Furnas,12:00,Friday,77
Hoch,12:00,Friday,149
Jacobs,12:00,Friday,235
Jarvis,12:00,Friday,12
Knox,12:00,Friday,513
Math,12:00,Friday,58
Norton,12:00,Friday,159
Nsc,12:00,Friday,1306
Obrian,12:00,Friday,105
Park,12:00,Friday,70
Talbrt,12:00,Friday,121
Ubcmns,12:00,Friday,11
Wilkeson,12:00,Friday,21
Academ,12:00,Monday,131
Alfier,12:00,Monday,81
Alumni,12:00,Monday,141
Baldy,12:00,Monday,421
Bell,12:00,Monday,41
Capen,12:00,Monday,121
Cfa,12:00,Monday,271
Clemen,12:00,Monday,448
Cooke,12:00,Monday,238
Davis,12:00,Monday,123
Frnczk,12:00,Monday,176
Furnas,12:00,Monday,55
Hoch,12:00,Monday,149
Jacobs,12:00,Monday,162
Jarvis,12:00,Monday,20
Knox,12:00,Monday,629
Math,12:00,Monday,51
Norton,12:00,Monday,214
Nsc,12:00,Monday,1363
Obrian,12:00,Monday,328
Park,12:00,Monday,95
Talbrt,12:00,Monday,180
Wilkeson,12:00,Monday,24
Academ,12:00,Thursday,264
Alfier,12:00,Thursday,137
Alumni,12:00,Thursday,145
Baird,12:00,Thursday,25
Baldy,12:00,Thursday,367
Bell,12:00,Thursday,49
CFA,12:00,Thursday,8
Capen,12:00,Thursday,116
Cfa,12:00,Thursday,204
Clemen,12:00,Thursday,573
Cooke,12:00,Thursday,220
Davis,12:00,Thursday,193
Frnczk,12:00,Thursday,186
Furnas,12:00,Thursday,20
Grein,12:00,Thursday,34
Hoch,12:00,Thursday,185
Jacobs,12:00,Thursday,220
Jarvis,12:00,Thursday,5
Ketter,12:00,Thursday,19
Knox,12:00,Thursday,997
Math,12:00,Thursday,76
Norton,12:00,Thursday,402
Nsc,12:00,Thursday,933
Obrian,12:00,Thursday,460
Park,12:00,Thursday,178
Talbrt,12:00,Thursday,188
Ubcmns,12:00,Thursday,23
Wilkeson,12:00,Thursday,26
Academ,12:00,Tuesday,269
Alfier,12:00,Tuesday,137
Alumni,12:00,Tuesday,145
Baird,12:00,Tuesday,25
Baldy,12:00,Tuesday,358
Bell,12:00,Tuesday,73
CFA,12:00,Tuesday,7
Capen,12:00,Tuesday,124
Cfa,12:00,Tuesday,135
Clemen,12:00,Tuesday,533
Cooke,12:00,Tuesday,220
Davis,12:00,Tuesday,193
Frnczk,12:00,Tuesday,162
Furnas,12:00,Tuesday,38
Hoch,12:00,Tuesday,169
Jacobs,12:00,Tuesday,195
Jarvis,12:00,Tuesday,5
Ketter,12:00,Tuesday,19
Knox,12:00,Tuesday,997
Math,12:00,Tuesday,76
Norton,12:00,Tuesday,368
Nsc,12:00,Tuesday,933
Obrian,12:00,Tuesday,380
Park,12:00,Tuesday,194
Talbrt,12:00,Tuesday,169
Ubcmns,12:00,Tuesday,23
Wilkeson,12:00,Tuesday,26
Academ,12:00,Wednesday,131
Alfier,12:00,Wednesday,81
Alumni,12:00,Wednesday,95
Baldy,12:00,Wednesday,337
Bell,12:00,Wednesday,41
Bonner,12:00,Wednesday,19
Capen,12:00,Wednesday,136
Cfa,12:00,Wednesday,144
Clemen,12:00,Wednesday,539
Cooke,12:00,Wednesday,214
Davis,12:00,Wednesday,138
Frnczk,12:00,Wednesday,211
Furnas,12:00,Wednesday,94
Hoch,12:00,Wednesday,149
Jacobs,12:00,Wednesday,162
Jarvis,12:00,Wednesday,19
Knox,12:00,Wednesday,629
Math,12:00,Wednesday,51
Norton,12:00,Wednesday,225
Nsc,12:00,Wednesday,1363
Obrian,12:00,Wednesday,377
Park,12:00,Wednesday,113
Talbrt,12:00,Wednesday,189
Wilkeson,12:00,Wednesday,35
Academ,12:15,Friday,120
Alumni,12:15,Friday,22
Arr,12:15,Friday,5
Baird,12:15,Friday,2
Baldy,12:15,Friday,338
Bell,12:15,Friday,25
Bonner,12:15,Friday,16
Capen,12:15,Friday,85
Cfa,12:15,Friday,23
Clemen,12:15,Friday,423
Cooke,12:15,Friday,252
Davis,12:15,Friday,123
Frnczk,12:15,Friday,155
Furnas,12:15,Friday,77
Hoch,12:15,Friday,149
Jacobs,12:15,Friday,235
Jarvis,12:15,Friday,12
Knox,12:15,Friday,513
Math,12:15,Friday,58
Norton,12:15,Friday,159
Nsc,12:15,Friday,1306
Obrian,12:15,Friday,111
Park,12:15,Friday,70
Talbrt,12:15,Friday,121
Ubcmns,12:15,Friday,11
Wilkeson,12:15,Friday,21
Academ,12:15,Monday,131
Alfier,12:15,Monday,26
Alumni,12:15,Monday,141
Baldy,12:15,Monday,366
Bell,12:15,Monday,35
Capen,12:15,Monday,97
Cfa,12:15,Monday,271
Clemen,12:15,Monday,416
Cooke,12:15,Monday,238
Davis,12:15,Monday,123
Frnczk,12:15,Monday,69
Furnas,12:15,Monday,55
Hoch,12:15,Monday,173
Jarvis,12:15,Monday,20
Knox,12:15,Monday,629
Math,12:15,Monday,51
Norton,12:15,Monday,125
Nsc,12:15,Monday,1306
Obrian,12:15,Monday,168
Park,12:15,Monday,90
Talbrt,12:15,Monday,180
Wilkeson,12:15,Monday,24
Academ,12:15,Wednesday,131
Alfier,12:15,Wednesday,26
Alumni,12:15,Wednesday,95
Baldy,12:15,Wednesday,282
Bell,12:15,Wednesday,35
Bonner,12:15,Wednesday,19
Capen,12:15,Wednesday,136
Cfa,12:15,Wednesday,144
Clemen,12:15,Wednesday,507
Cooke,12:15,Wednesday,214
Davis,12:15,Wednesday,138
Frnczk,12:15,Wednesday,104
Furnas,12:15,Wednesday,94
Hoch,12:15,Wednesday,179
Jarvis,12:15,Wednesday,19
Knox,12:15,Wednesday,629
Math,12:15,Wednesday,51
Norton,12:15,Wednesday,136
Nsc,12:15,Wednesday,1306
Obrian,12:15,Wednesday,186
Park,12:15,Wednesday,107
Talbrt,12:15,Wednesday,189
Wilkeson,12:15,Wednesday,24
Academ,12:30,Friday,120
Alumni,12:30,Friday,22
Arr,12:30,Friday,5
Baldy,12:30,Friday,317
Bell,12:30,Friday,25
Bonner,12:30,Friday,16
Capen,12:30,Friday,85
Cfa,12:30,Friday,23
Clemen,12:30,Friday,400
Cooke,12:30,Friday,252
Davis,12:30,Friday,123
Frnczk,12:30,Friday,155
Furnas,12:30,Friday,77
Hoch,12:30,Friday,149
Jacobs,12:30,Friday,235
Jarvis,12:30,Friday,12
Knox,12:30,Friday,513
Math,12:30,Friday,58
Norton,12:30,Friday,159
Nsc,12:30,Friday,1306
Obrian,12:30,Friday,111
Park,12:30,Friday,70
Talbrt,12:30,Friday,121
Ubcmns,12:30,Friday,11
Wilkeson,12:30,Friday,21
Academ,12:30,Monday,131
Alfier,12:30,Monday,147
Alumni,12:30,Monday,141
Baldy,12:30,Monday,347
Bell,12:30,Monday,35
CFA,12:30,Monday,142
Capen,12:30,Monday,120
Cfa,12:30,Monday,271
Clemen,12:30,Monday,403
Cooke,12:30,Monday,238
Davis,12:30,Monday,123
Frnczk,12:30,Monday,122
Furnas,12:30,Monday,55
Grein,12:30,Monday,23
Hoch,12:30,Monday,197
Jacobs,12:30,Monday,210
Jarvis,12:30,Monday,31
Ketter,12:30,Monday,6
Knox,12:30,Monday,629
Math,12:30,Monday,51
Norton,12:30,Monday,125
Nsc,12:30,Monday,1306
Obrian,12:30,Monday,303
Park,12:30,Monday,133
Talbrt,12:30,Monday,180
Wilkeson,12:30,Monday,24
Academ,12:30,Thursday,356
Alfier,12:30,Thursday,138
Alumni,12:30,Thursday,87
Baldy,12:30,Thursday,343
Bell,12:30,Thursday,58
CFA,12:30,Thursday,151
Capen,12:30,Thursday,91
Cfa,12:30,Thursday,230
Clemen,12:30,Thursday,412
Cooke,12:30,Thursday,180
Davis,12:30,Thursday,100
Frnczk,12:30,Thursday,126
Furnas,12:30,Thursday,78
Grein,12:30,Thursday,7
Hoch,12:30,Thursday,180
Jacobs,12:30,Thursday,311
Knox,12:30,Thursday,780
Math,12:30,Thursday,105
Norton,12:30,Thursday,178
Nsc,12:30,Thursday,937
Obrian,12:30,Thursday,376
Park,12:30,Thursday,149
Slee,12:30,Thursday,12
Talbrt,12:30,Thursday,112
Ubcmns,12:30,Thursday,26
Wilkeson,12:30,Thursday,44
Academ,12:30,Tuesday,310
Alfier,12:30,Tuesday,138
Alumni,12:30,Tuesday,87
Baldy,12:30,Tuesday,324
Bell,12:30,Tuesday,82
CFA,12:30,Tuesday,135
